t`s`float	v(rst)`V`float	v(clk)`V`float	v(d)`V`float	v(vdd!)`V`float	v(vss)`V`float
1.65326e-08	0	2.5	0.00022487	2.51654	0.00827158
1.66343e-08	0	2.5	-0.000237491	2.4884	-0.00579783
1.67737e-08	0	2.5	-0.00030278	2.48147	-0.00926355
1.69259e-08	0	2.5	0.000135837	2.50677	0.00338253
1.7e-08	0	2.5	0.00024959	2.51468	0.0073383
1.70279e-08	0.0348617	2.5	0.000226947	2.51381	0.00690326
1.70534e-08	0.066799	2.5	0.000195964	2.51235	0.00617559
1.71271e-08	0.158874	2.5	4.33934e-05	2.5038	0.0018994
1.73628e-08	0.453513	2.5	-0.000167967	2.48988	-0.00505854
1.75098e-08	0.637217	2.5	1.46106e-05	2.49999	-4.9127e-06
1.7812e-08	1.01497	2.5	7.9651e-05	2.50483	0.00241334
1.80307e-08	1.28834	2.5	-0.000102941	2.49355	-0.00322406
1.82292e-08	1.53653	2.5	-0.00011146	2.49254	-0.00373079
1.84278e-08	1.78473	2.5	2.96833e-05	2.5003	0.000151256
1.84686e-08	1.83575	2.5	4.84174e-05	2.50154	0.000771525
1.85166e-08	1.89579	2.5	5.61977e-05	2.50215	0.00107516
1.85882e-08	1.98531	2.5	2.53002e-05	2.50016	7.89814e-05
1.86599e-08	2.07483	2.5	-5.64728e-05	2.4947	-0.00265171
1.8701e-08	2.12626	2.5	-6.24586e-05	2.49434	-0.00282931
1.87327e-08	2.16583	2.5	-1.49702e-05	2.49756	-0.00121842
1.87643e-08	2.2054	2.5	7.78159e-05	2.50382	0.00191204
1.88e-08	2.25	2.5	0.000161627	2.50948	0.0047405
1.88225e-08	2.27813	2.31246	0.000126575	2.50716	0.00357999
1.883e-08	2.28747	2.25018	0.000115605	2.50648	0.00324144
1.88539e-08	2.31737	2.05087	7.80674e-05	2.50424	0.0021223
1.88982e-08	2.37269	1.68204	-5.66748e-05	2.49547	-0.00226749
1.89434e-08	2.42921	1.30527	-0.000234762	2.48353	-0.00823556
1.89681e-08	2.46014	1.09904	-0.000320991	2.47743	-0.011286
1.89929e-08	2.49108	0.892796	-0.000399257	2.47163	-0.0141832
1.9e-08	2.5	0.833333	-0.000411559	2.47069	-0.0146537
1.90114e-08	2.5	0.738193	-0.000418777	2.46984	-0.0150808
1.90148e-08	2.5	0.709745	-0.000420126	2.46964	-0.0151793
1.90258e-08	2.5	0.618709	-0.000417739	2.46943	-0.0152851
1.90377e-08	2.5	0.519067	-0.000402613	2.47	-0.0149987
1.90492e-08	2.5	0.423148	-0.00037313	2.47154	-0.0142276
1.90602e-08	2.5	0.331974	-0.000325857	2.47433	-0.0128356
1.90759e-08	2.5	0.201111	-0.000227074	2.48038	-0.00980885
1.90924e-08	2.5	0.0636073	-9.14907e-05	2.48891	-0.00554671
1.91e-08	2.5	0	-2.18479e-05	2.49332	-0.00334127
1.91122e-08	2.5	0	0.000127468	2.5032	0.0015975
1.91166e-08	2.5	0	0.00018059	2.50669	0.00334526
1.91296e-08	2.5	0	0.000334001	2.51675	0.00837721
1.9152e-08	2.5	0	0.000562558	2.53201	0.0160036
1.91858e-08	2.5	0	0.000786539	2.54787	0.0239328
1.9228e-08	2.5	0	0.000833872	2.55356	0.0267819
1.92822e-08	2.5	0	0.000575844	2.54078	0.0203902
1.93571e-08	2.5	0	-4.62392e-05	2.50436	0.00217866
1.94625e-08	2.5	0	-0.000609205	2.46733	-0.0163341
1.95721e-08	2.5	0	-0.000371447	2.47724	-0.0113825
1.9702e-08	2.5	0	0.000271097	2.51527	0.00763442
1.98954e-08	2.5	0	0.000224111	2.51587	0.00793482
2.00411e-08	2.5	0	-0.000262261	2.4862	-0.00690174
2.02947e-08	2.5	0	-6.86707e-05	2.49453	-0.00273558
2.0465e-08	2.5	0	0.000244108	2.51456	0.00728232
2.07712e-08	2.5	0	-0.000113023	2.49455	-0.002727
2.1e-08	2.5	0	-0.000117316	2.49226	-0.00387024
2.1033e-08	2.5	0.274675	9.83403e-06	2.5004	0.000201589
2.10488e-08	2.5	0.406774	6.54804e-05	2.50392	0.00195953
2.10995e-08	2.5	0.829491	0.000145226	2.50891	0.00445564
2.11194e-08	2.5	0.995088	0.000133593	2.50816	0.00408204
2.11393e-08	2.5	1.16069	9.78237e-05	2.5059	0.00294764
2.11627e-08	2.5	1.35575	1.4764e-05	2.50039	0.00019381
2.11861e-08	2.5	1.55082	-0.000109173	2.49211	-0.00394307
2.12091e-08	2.5	1.74239	-0.000197414	2.48628	-0.00686094
2.12321e-08	2.5	1.93396	-0.000276825	2.48106	-0.009472
2.12481e-08	2.5	2.06739	-0.000300026	2.47932	-0.0103388
2.12641e-08	2.5	2.20082	-0.000305054	2.47868	-0.0106587
2.1279e-08	2.5	2.32474	-0.000294587	2.47909	-0.0104565
2.12938e-08	2.5	2.44865	-0.000269168	2.48045	-0.0097765
2.13e-08	2.5	2.5	-0.000255074	2.4812	-0.00940202
2.13099e-08	2.5	2.5	-0.000252916	2.48091	-0.00954603
2.13138e-08	2.5	2.5	-0.000251281	2.48087	-0.00956271
2.13252e-08	2.5	2.5	-0.0002378	2.48146	-0.00926982
2.1341e-08	2.5	2.5	-0.000195316	2.4839	-0.00805043
2.13577e-08	2.5	2.5	-0.000124397	2.48822	-0.00588818
2.13743e-08	2.5	2.5	-3.07276e-05	2.49413	-0.00293622
